step,timestamp,phase,phase_count_node,phase_count_graph,avg_loss_last_10,best_loss_so_far,time_in_phase,curriculum_phase
0,1753489288.114244,node,1,0,0.20704174041748047,0.20704174041748047,0.0,1
10,1753489290.975971,graph,3,8,161.48435272872447,0.20035025477409363,0.27569150924682617,1
20,1753489293.3699784,node,6,15,136.05480730831624,0.20035025477409363,0.0,1
30,1753489295.885723,graph,8,23,167.55423620194196,0.20035025477409363,0.26201343536376953,1
40,1753489298.2667391,node,11,30,123.63669972866774,0.20035025477409363,0.0,1
50,1753489300.7516146,graph,13,38,144.10237141549587,0.20035025477409363,0.26671934127807617,1
60,1753489303.0939038,node,16,45,95.37700553238392,0.20035025477409363,0.0,1
70,1753489305.5502648,graph,18,53,213.64366423487664,0.20035025477409363,0.24892663955688477,1
80,1753489307.960109,node,21,60,96.14592352509499,0.20035025477409363,0.0,1
90,1753489310.3936985,graph,23,68,106.54881832897664,0.20035025477409363,0.2726571559906006,1
100,1753489312.7570152,node,26,75,77.74684729278087,0.20035025477409363,0.0,1
110,1753489315.2257009,graph,28,83,86.55865803062916,0.20035025477409363,0.26639246940612793,1
120,1753489317.5354073,node,31,90,76.06207023859024,0.20035025477409363,0.0,1
130,1753489319.981622,graph,33,98,79.97328725457191,0.20035025477409363,0.24883627891540527,1
140,1753489322.3694794,node,36,105,72.8069592088461,0.20035025477409363,0.0,1
150,1753489324.7814083,graph,38,113,88.00527793467045,0.20035025477409363,0.2608802318572998,1
160,1753489327.160794,node,41,120,58.191891722381115,0.20035025477409363,0.0,1
170,1753489329.6337726,graph,43,128,61.36717010736466,0.20035025477409363,0.25528717041015625,1
180,1753489331.9980562,node,46,135,47.483002576231954,0.20035025477409363,0.0,1
190,1753489334.4724677,graph,48,143,58.768037039041516,0.20035025477409363,0.25983190536499023,1
200,1753489336.8612523,node,51,150,2130.0838205263017,0.20035025477409363,0.0,1
210,1753489339.3248534,graph,53,158,43.61426677107811,0.20035025477409363,0.2560887336730957,1
220,1753489341.8047974,node,56,165,35.44482274353504,0.20035025477409363,0.0,1
230,1753489344.284621,graph,58,173,36.168576607108115,0.20035025477409363,0.27137041091918945,1
240,1753489346.6199102,node,61,180,30.797009485960007,0.20035025477409363,0.0,1
250,1753489349.1020772,graph,63,188,38.66411944329739,0.20035025477409363,0.24864983558654785,1
260,1753489351.4915228,node,66,195,30.217294290661812,0.20035025477409363,0.0,1
270,1753489353.969762,graph,68,203,29.85980901569128,0.20035025477409363,0.290255069732666,1
280,1753489356.3152049,node,71,210,29.67046041339636,0.20035025477409363,0.0,1
290,1753489358.804197,graph,73,218,29.093415030837058,0.20035025477409363,0.26252222061157227,1
300,1753489361.218054,node,76,225,21.719095213711263,0.13518883287906647,0.0,1
310,1753489363.690642,graph,78,233,28.1700979411602,0.13518883287906647,0.2689547538757324,1
320,1753489366.0922856,node,81,240,20.22161963880062,0.13518883287906647,0.0,1
330,1753489368.5610733,graph,83,248,21.547973580658436,0.13518883287906647,0.2613525390625,1
340,1753489370.9611158,node,86,255,17.80240852832794,0.13518883287906647,0.0,1
350,1753489373.4582183,graph,88,263,19.42064462453127,0.13518883287906647,0.2628624439239502,1
360,1753489375.8821855,node,91,270,13.81642979681492,0.13518883287906647,0.0,1
370,1753489378.2988281,graph,93,278,16.890912073850632,0.13518883287906647,0.24792838096618652,1
380,1753489380.7193298,node,96,285,14.824515214562416,0.13518883287906647,0.0,1
390,1753489383.194535,graph,98,293,14.047447358071803,0.13518883287906647,0.2546114921569824,1
400,1753489385.575329,node,101,300,18.917965421080588,0.13518883287906647,0.0,1
410,1753489388.065429,graph,103,308,14.144934344291688,0.13518883287906647,0.271350622177124,1
420,1753489390.427807,node,106,315,11.117285442352294,0.13518883287906647,0.0,1
430,1753489392.8986037,graph,108,323,14.48698108792305,0.13518883287906647,0.2644801139831543,1
440,1753489395.32472,node,111,330,8.80217032134533,0.13518883287906647,0.0,1
450,1753489397.7941003,graph,113,338,11.487997636198997,0.13518883287906647,0.26551032066345215,1
460,1753489400.1804564,node,116,345,10.69136660695076,0.13518883287906647,0.0,1
470,1753489402.688325,graph,118,353,10.514254620671272,0.13518883287906647,0.26318883895874023,1
480,1753489405.0832288,node,121,360,9.33955783843994,0.13518883287906647,0.0,1
490,1753489407.543727,graph,123,368,2128.4293636217712,0.13518883287906647,0.257704496383667,1
500,1753489409.976289,node,126,375,9.21631049066782,0.13518883287906647,0.0,1
510,1753489423.953747,graph,128,383,8.010461753606796,0.13518883287906647,0.26456189155578613,1
520,1753489426.3544893,node,131,390,7.053205251693726,0.13518883287906647,0.0,1
530,1753489428.863234,graph,133,398,7.11104431450367,0.13518883287906647,0.25510716438293457,1
540,1753489431.2748024,node,136,405,6.953214958310127,0.13518883287906647,0.0,1
550,1753489433.7812855,graph,138,413,7.5981629088521005,0.13518883287906647,0.26399731636047363,1
560,1753489436.142628,node,141,420,6.06534532904625,0.13518883287906647,0.0,1
