step,timestamp,phase,total_loss,node_loss,graph_loss,energy_loss,physics_loss,learning_rate,steps_per_sec,elapsed_time,weight_node,weight_graph,weight_energy,weight_physics
0,1753493758.2372222,node,0.0,0.0,0.0,0.0,0.0,0.00019522801033877748,0.0,8.771150350570679,1.0,1.0,1.0,1.0
1,1753493761.338526,graph,279.42431640625,0.0,1.3239355087280273,0.0,139.64596557617188,0.00018137915695155737,0.32244502937504244,11.872454166412354,0.1,0.1,0.1,2.0
2,1753493761.6463013,graph,213.66355895996094,0.0,0.9876962304115295,0.0,106.78239440917969,0.00015980906209851612,3.249124062768465,12.180229425430298,0.1,0.1,0.1,2.0
3,1753493761.9276943,graph,158.34701538085938,0.0,0.9853994846343994,0.0,79.12423706054688,0.00013262915695155738,3.553748025838637,12.461622476577759,0.1,0.1,0.1,2.0
4,1753493762.0778582,node,0.0,0.0,0.0,0.0,0.0,0.0001025,6.659390663874392,12.611786365509033,1.0,1.0,1.0,1.0
5,1753493762.3474655,graph,218.81419372558594,0.0,0.8884763717651367,0.0,109.3626708984375,7.237084304844263e-05,3.709098305204653,12.881393671035767,0.1,0.1,0.1,2.0
6,1753493762.6252701,graph,198.7649688720703,0.0,0.9482424855232239,0.0,99.33507537841797,4.519093790148388e-05,3.599652247645677,13.15919828414917,0.1,0.1,0.1,2.0
7,1753493762.9237804,graph,221.80320739746094,0.0,0.7801473140716553,0.0,110.86259460449219,2.3620843048442634e-05,3.3499680122807285,13.457708597183228,0.1,0.1,0.1,2.0
8,1753493763.0857134,node,0.0,0.0,0.0,0.0,0.0,9.771989661222532e-06,6.175395614815164,13.619641542434692,1.0,1.0,1.0,1.0
9,1753493763.358342,graph,153.1692657470703,0.0,0.7284906506538391,0.0,76.54821014404297,5e-06,3.6679944765441146,13.8922700881958,0.1,0.1,0.1,2.0
