CASRN,Preferred_Name,SMILES,Molecular_Formula,Average_Mass,F_Count,F_Percentage,C_Count,CF_Bonds,Chain_Length,MW_RDKit,Rotatable_Bonds,H_Acceptors,H_Donors,Ring_Count,Aromatic_Rings,Chain_Category,Is_Aromatic,Has_Rings,Is_Cyclic,Is_Branched,PFAS_Type,Treatment_Process,Test_Scale,Matrix,Treatment_Temp_C,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Treatment_Success,Temperature_Category,Time_Category,Initial_Concentration_Numeric,Post_Concentration_Numeric
1135682-88-0,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,OS(=O)(=O)C1(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C8HF15O3S,462.13,15,55.55555555555556,8,15,8,462.12999999999994,2.0,2.0,1.0,1.0,0.0,Long-chain,False,True,True,True,Long-chain Cyclic Branched Highly-fluorinated,Hydrothermal Treatment,Lab,Other,350.0,180.0,100.0,True,Medium,Medium,28.7,0.0
1135682-88-0,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,OS(=O)(=O)C1(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C8HF15O3S,462.13,15,55.55555555555556,8,15,8,462.12999999999994,2.0,2.0,1.0,1.0,0.0,Long-chain,False,True,True,True,Long-chain Cyclic Branched Highly-fluorinated,Hydrothermal Treatment,Lab,Other,350.0,180.0,100.0,True,Medium,Medium,28.7,0.0
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,700.0,,,False,High,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,500.0,,,False,High,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,300.0,,,False,Medium,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,700.0,,,False,High,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,700.0,,,False,High,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,500.0,,,False,High,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,500.0,,,False,High,,50.0,
865-86-1,Fluorotelomer alcohol 10:2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O,564.137,21,61.76470588235294,12,21,12,564.1290000000001,10.0,1.0,1.0,0.0,0.0,Long-chain,False,False,False,True,Long-chain Branched Highly-fluorinated,Indirect Thermal Desorption,Lab,Other,300.0,,,False,Medium,,50.0,
