DTXSID,Preferred_Name,CASRN,InChIKey,IUPAC_Name,SMILES,InChI_String,Molecular_Formula,Average_Mass,Monoisotopic_Mass,QC_Level,ToxCast_Active_Count,Total_Assays,ToxCast_Active_Percent,Is_ToxCast_Active,rdkit_mol_cache,ROMol,Valid_SMILES,F_Count,F_Percentage,MW_RDKit,Rotatable_Bonds,H_Acceptors,H_Donors,Ring_Count,Aromatic_Rings,C_Count,Chain_Length,CF_Bonds,f_to_c_ratio,avg_f_per_c,Is_Aromatic,Has_Rings,Is_Cyclic,Is_Branched,Has_Fluorine,Chain_Category
DTXSID00188933,"2'-Nitro-4,4,4-trifluoro-3-(trifluoromethyl)-crotonophenone",35443-89-1,NLAMONODKVNOSH-UHFFFAOYSA-N,"4,4,4-Trifluoro-1-(2-nitrophenyl)-3-(trifluoromethyl)but-2-en-1-one",[O-][N+](=O)C1=CC=CC=C1C(=O)C=C(C(F)(F)F)C(F)(F)F,"InChI=1S/C11H5F6NO3/c12-10(13,14)9(11(15,16)17)5-8(19)6-3-1-2-4-7(6)18(20)21/h1-5H",C11H5F6NO3,313.155,313.017362,2,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0970>,<rdkit.Chem.rdchem.Mol object at 0x179644430>,True,6,23.076923076923077,313.01736234000015,3,3,0,1,1,11,7,6,0.5454545454545454,0.5454545454545454,True,True,False,True,True,Long
DTXSID10880158,3-(Trifluoromethyl)perfluorohexane,558-69-0,CPMLSIADGFUFBX-UHFFFAOYSA-N,"1,1,1,2,2,3,3,4,5,5,6,6,6-Tridecafluoro-4-(trifluoromethyl)hexane",FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,"InChI=1/C7F16/c8-1(5(15,16)17,3(11,12)6(18,19)20)2(9,10)4(13,14)7(21,22)23",C7F16,388.051,387.974451,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0ac0>,<rdkit.Chem.rdchem.Mol object at 0x179644510>,True,16,69.56521739130434,387.97445152,3,0,0,0,0,7,5,16,2.2857142857142856,2.2857142857142856,False,False,False,True,True,Medium
DTXSID10880173,"3,3,4,4-Tetrafluoropyrrolidine Hydrochloride",1810-13-5,KPTMFLKIYHWQPB-UHFFFAOYSA-N,"3,3,4,4-Tetrafluoropyrrolidine--hydrogen chloride (1/1)",Cl.FC1(F)CNCC1(F)F,"InChI=1S/C4H5F4N.ClH/c5-3(6)1-9-2-4(3,7)8;/h9H,1-2H2;1H",C4H6ClF4N,179.54,179.012489,5,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0a50>,<rdkit.Chem.rdchem.Mol object at 0x179644580>,True,4,25.0,179.012489752,0,1,1,1,0,4,2,4,1.0,1.0,False,True,False,True,True,Very Short
DTXSID10880178,Hexafluoroisopropyl acrylate,2160-89-6,MNSWITGNWZSAMC-UHFFFAOYSA-N,"1,1,1,3,3,3-Hexafluoropropan-2-yl prop-2-enoate",FC(F)(F)C(OC(=O)C=C)C(F)(F)F,"InChI=1S/C6H4F6O2/c1-2-3(13)14-4(5(7,8)9)6(10,11)12/h2,4H,1H2",C6H4F6O2,222.086,222.011548,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0b30>,<rdkit.Chem.rdchem.Mol object at 0x1796445f0>,True,6,33.33333333333333,222.011548688,2,2,0,0,0,6,5,6,1.0,1.0,False,False,False,True,True,Medium
DTXSID10880193,"2H-Perfluoro(5,8-dimethyl-3,6,9-trioxadodecane)",3330-16-3,QRLOKTBZZPZAMX-UHFFFAOYSA-N,"1,1,1,2,2,3,3-Heptafluoro-3-[(1,1,1,2,3,3-hexafluoro-3-{[1,1,1,2,3,3-hexafluoro-3-(1,2,2,2-tetrafluoroethoxy)propan-2-yl]oxy}propan-2-yl)oxy]propane",FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,"InChI=1/C11HF23O3/c12-1(2(13,14)15)35-10(31,32)4(18,7(23,24)25)37-11(33,34)5(19,8(26,27)28)36-9(29,30)3(16,17)6(20,21)22/h1H",C11HF23O3,618.089,617.955842,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0ba0>,<rdkit.Chem.rdchem.Mol object at 0x179644660>,True,23,60.526315789473685,617.955842952,9,3,0,0,0,11,11,23,2.090909090909091,2.090909090909091,False,False,False,True,True,Long
DTXSID10880198,"2-Pentene, 1,1,1,2,3,4,5,5,5-nonafluoro-4-(trifluoromethyl)-, (Z)-",3709-70-4,SAPOZTRFWJZUFT-UPHRSURJSA-N,"(2Z)-1,1,1,2,3,4,5,5,5-Nonafluoro-4-(trifluoromethyl)pent-2-ene",F\C(=C(/F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,"InChI=1S/C6F12/c7-1(2(8)4(10,11)12)3(9,5(13,14)15)6(16,17)18/b2-1-",C6F12,300.047,299.980838,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0c10>,<rdkit.Chem.rdchem.Mol object at 0x1796446d0>,True,12,66.66666666666666,299.98083864,1,0,0,0,0,6,4,12,2.0,2.0,False,False,False,True,True,Short
DTXSID10880219,11-(Perfluoro-n-octyl)undec-10-en-1-ol,15364-19-9,MUCVGEGAZDOIDJ-UHFFFAOYSA-N,"12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,19-Heptadecafluorononadec-10-en-1-ol",OCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C19H21F17O/c20-12(21,10-8-6-4-2-1-3-5-7-9-11-37)13(22,23)14(24,25)15(26,27)16(28,29)17(30,31)18(32,33)19(34,35)36/h8,10,37H,1-7,9,11H2",C19H21F17O,588.349,588.132094,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0c80>,<rdkit.Chem.rdchem.Mol object at 0x179644740>,True,17,29.310344827586203,588.1320950320006,17,1,1,0,0,19,18,17,0.8947368421052632,0.8947368421052632,False,False,False,True,True,Long
DTXSID10880234,3-(Perfluoro-7-methyloctyl)-2-hydroxypropyl acrylate,24407-09-8,VAHMONSDBBIGFL-UHFFFAOYSA-N,"4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-Hexadecafluoro-2-hydroxy-10-(trifluoromethyl)undecyl prop-2-enoate",OC(COC(=O)C=C)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,"InChI=1/C15H9F19O3/c1-2-6(36)37-4-5(35)3-7(16,17)9(19,20)11(23,24)13(27,28)12(25,26)10(21,22)8(18,14(29,30)31)15(32,33)34/h2,5,35H,1,3-4H2",C15H9F19O3,598.204,598.024829,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0cf0>,<rdkit.Chem.rdchem.Mol object at 0x1796447b0>,True,19,41.30434782608695,598.0248303280002,12,3,1,0,0,15,14,19,1.2666666666666666,1.2666666666666666,False,False,False,True,True,Long
DTXSID10880239,"6-Isocyanato-2,2,4,4-tetrefluoro-1,3-benzodioxene",26030-46-6,MWFKCAONPRJVKK-UHFFFAOYSA-N,"2,2,4,4-Tetrafluoro-6-isocyanato-2H,4H-1,3-benzodioxine",FC1(F)OC2=C(C=C(C=C2)N=C=O)C(F)(F)O1,"InChI=1S/C9H3F4NO3/c10-8(11)6-3-5(14-4-15)1-2-7(6)16-9(12,13)17-8/h1-3H",C9H3F4NO3,249.121,249.004906,5,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0d60>,<rdkit.Chem.rdchem.Mol object at 0x179644820>,True,4,20.0,249.004905836,1,4,0,2,1,9,7,4,0.4444444444444444,0.4444444444444444,True,True,False,True,True,Long
DTXSID10880411,Dichloro(methyl)[(perfluorobutyl)ethyl]silane,38436-16-7,SNVXETNSVRUKHB-UHFFFAOYSA-N,"(Dichloromethyl)(3,3,4,4,5,5,6,6,6-nonafluorohexyl)silane",C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7H7Cl2F9Si/c1-19(8,9)3-2-4(10,11)5(12,13)6(14,15)7(16,17)18/h2-3H2,1H3",C7H7Cl2F9Si,361.1,359.955036,1,,237.0,2.0,0,<rdkit.Chem.rdchem.Mol object at 0x178ed0dd0>,<rdkit.Chem.rdchem.Mol object at 0x179644890>,True,9,34.61538461538461,359.9550360940002,6,0,0,0,0,7,7,9,1.2857142857142858,1.2857142857142858,False,False,False,True,True,Long
