Analyte_Abbreviation,Chemical_Name,CASRN,Treatment_Process,Test_Scale,Matrix,Matrix_Detail,Treatment_Temp_C,Treatment_Time,Condition_Details,Effectiveness_Percent,Effectiveness_Type,Measure_Details,Initial_Concentration,Initial_Details,Post_Concentration,Post_Details,Offgas_Concentration,Additional_Details,Citation,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Initial_Concentration_Numeric,Post_Concentration_Numeric,Offgas_Concentration_Numeric,Treatment_Success,Temperature_Category,Time_Category,In_Chemical_List,Standardized_Chemical_Name
PFBS,Perfluorobutyl sulfonate,375-73-5,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 6:2 FTS,6.6 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 6:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 12.,Grenier 2023,30.0,,0.0,6.6,,False,Medium,Short,True,Perfluorobutanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 6:2 FTS,32 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 6:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 12.,Grenier 2023,30.0,,0.0,32.0,,False,Medium,Short,True,Perfluorooctanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 6:2 FTS,41.9 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 6:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 12.,Grenier 2023,30.0,,0.0,41.9,,False,Medium,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,23 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023,30.0,,0.0,23.0,,False,Medium,Short,True,Perfluorooctanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,29 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023,30.0,,0.0,29.0,,False,Medium,Short,True,Perfluorooctanesulfonic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,11.8 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023,30.0,,0.0,11.8,,False,Medium,Short,True,Perfluorohexanoic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,18.5 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023,30.0,,0.0,18.5,,False,Medium,Short,True,6:2 Fluorotelomer sulfonic acid
PFBA,Perfluorobutanoic acid,375-22-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,4.79 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023,30.0,,0.0,4.79,,False,Medium,Short,True,Perfluorobutanoic acid
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,15 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023,30.0,,0.0,15.0,,False,Medium,Short,True,Perfluorooctanoic acid
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,32 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023,30.0,,0.0,32.0,,False,Medium,Short,True,8:2 Fluorotelomer sulfonic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,8.56 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023,30.0,,0.0,8.56,,False,Medium,Short,True,Perfluorohexanoic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,45 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023,30.0,,0.0,45.0,,False,Medium,Short,True,6:2 Fluorotelomer sulfonic acid
PFDA,Perfluorodecanoic acid,335-76-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,30 minute,AFFF transformation examination,,,,4350 ppt,,300 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,30.0,93.10344827586206,4350.0,300.0,,True,Medium,Short,True,Perfluorodecanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,30 minute,AFFF transformation examination,,,,4640 ppt,,2100 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,30.0,54.741379310344826,4640.0,2100.0,,False,Medium,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,30 minute,AFFF transformation examination,,,,9900 ppt,,2050 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,30.0,79.29292929292929,9900.0,2050.0,,False,Medium,Short,True,Perfluorooctanoic acid
PFDoA,Perfluorododecanoic acid,307-55-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,20 minute,AFFF transformation examination,,,,1820 ppt,,100 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,20.0,94.5054945054945,1820.0,100.0,,True,Medium,Short,True,Perfluorododecanoic acid
PFDA,Perfluorodecanoic acid,335-76-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,20 minute,AFFF transformation examination,,,,4350 ppt,,300 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,20.0,93.10344827586206,4350.0,300.0,,True,Medium,Short,True,Perfluorodecanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,20 minute,AFFF transformation examination,,,,4640 ppt,,2000 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,20.0,56.896551724137936,4640.0,2000.0,,False,Medium,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,20 minute,AFFF transformation examination,,,,9900 ppt,,1800 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,20.0,81.81818181818183,9900.0,1800.0,,True,Medium,Short,True,Perfluorooctanoic acid
PFDoA,Perfluorododecanoic acid,307-55-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,10 minute,AFFF transformation examination,,,,1820 ppt,,100 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,10.0,94.5054945054945,1820.0,100.0,,True,Medium,Short,True,Perfluorododecanoic acid
PFDA,Perfluorodecanoic acid,335-76-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,10 minute,AFFF transformation examination,,,,4350 ppt,,250 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,10.0,94.25287356321839,4350.0,250.0,,True,Medium,Short,True,Perfluorodecanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,10 minute,AFFF transformation examination,,,,4640 ppt,,1900 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,10.0,59.05172413793104,4640.0,1900.0,,False,Medium,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300.0,10 minute,AFFF transformation examination,,,,9900 ppt,,1600 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023,10.0,83.83838383838383,9900.0,1600.0,,True,Medium,Short,True,Perfluorooctanoic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,100 ng/L,,ND,limit of detection not specified,,"Resultant concentrations include PFBS at 6.60 ng/L, PFOA at 32 ng/L, and PFOS at 41.9 ng/L; figure 12.",Grenier 2023,30.0,100.0,100.0,0.0,,True,Medium,Short,True,6:2 Fluorotelomer sulfonic acid
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,100 ng/L,,ND,limit of detection not specified,,"Resultant concentrations include 6:2 FTS at 18.5 ng/L, PFBA at 4.79 ng/L, PFHxA at 11.8 ng/L, PFOA at 23 ng/L, and PFOS at 29 ng/L; figure 11.",Grenier 2023,30.0,100.0,100.0,0.0,,True,Medium,Short,True,8:2 Fluorotelomer sulfonic acid
10:2 FTS,10:2 Fluorotelomer sulfonic acid,120226-60-0,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400.0,30 minute,FTS transformation examination,,,,100 ng/L,,ND,limit of detection not specified,,"Resultant concentrations include 8:2 FTS at 32 ng/L, 6:2 FTS at 45 ng/L, PFHxA at 8.56 ng/L, and PFOA at 15 ng/L; figure 10.",Grenier 2023,30.0,100.0,100.0,0.0,,True,Medium,Short,True,10:2 Fluorotelomer sulfonic acid
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845.0,1 minute,Study looks at degradation efficiency at 60 seconds (845 C at 60 s),100%,Percent Decomposition Efficiency,100% at 60s,,,,,,Figure 4. PFAS in two surfactant concentrates (FC-100 and FC-170 C). No measurable PFAS was found after thermal treatment.,Sun et al 2024,1.0,,,,,False,High,Short,False,Total Per- and Polyfluorinated Substances
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845.0,1 minute,Study looks at degradation efficiency at 60 seconds (845 C at 60 s),100%,Percent Decomposition Efficiency,100% at 60s,,,,,,Figure 4. PFAS in two AFFF samples. No measurable PFAS was found after thermal treatment.,Sun et al 2024,1.0,,,,,False,High,Short,False,Total Per- and Polyfluorinated Substances
