Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 6:2 FTS,6.6 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 6:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 12.,Grenier 2023
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 6:2 FTS,32 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 6:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 12.,Grenier 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 6:2 FTS,41.9 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 6:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 12.,Grenier 2023
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,23 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,29 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,11.8 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,18.5 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023
PFBA,Perfluorobutanoic acid,375-22-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 8:2 FTS,4.79 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 8:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 11.,Grenier 2023
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,15 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,32 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,8.56 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,400,30 minute,FTS transformation examination,,,,ND,Detection limit not specified; initially spiked with 10:2 FTS,45 ng/L,Thermal transformation intermediate compounds,,Initially spiked with 10:2 FTS at 100 ng/L; results report on intermediate thermal transformation of the spiked compound; figure 10.,Grenier 2023
PFDA,Perfluorodecanoic acid,335-76-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,30 minute,AFFF transformation examination,,,,˜4350 ppt,,˜300 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,30 minute,AFFF transformation examination,,,,˜4640 ppt,,˜2100 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,30 minute,AFFF transformation examination,,,,˜9900 ppt,,˜2050 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFDoA,Perfluorododecanoic acid,307-55-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,20 minute,AFFF transformation examination,,,,˜1820 ppt,,˜100 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFDA,Perfluorodecanoic acid,335-76-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,20 minute,AFFF transformation examination,,,,˜4350 ppt,,˜300 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,20 minute,AFFF transformation examination,,,,˜4640 ppt,,˜2000 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,20 minute,AFFF transformation examination,,,,˜9900 ppt,,˜1800 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFDoA,Perfluorododecanoic acid,307-55-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,10 minute,AFFF transformation examination,,,,˜1820 ppt,,˜100 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFDA,Perfluorodecanoic acid,335-76-2,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,10 minute,AFFF transformation examination,,,,˜4350 ppt,,˜250 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,10 minute,AFFF transformation examination,,,,˜4640 ppt,,˜1900 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
PFOA,Perflouorooctanoate,335-67-1,Thermolysis,Lab,Various,Solutions of 3 PFAS precursors or 1% AFFF,300,10 minute,AFFF transformation examination,,,,˜9900 ppt,,˜1600 ppt,,,initial concentration 1% of value listed in Appendix B; post interpolated from Figure 17,Grenier 2023
