common_name,DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,QC Level,# ToxCast Active,Total Assays,% ToxCast Active,matched_pattern,DESCRIPTION,compound_class,chain_length,functional_group,category,canonical_smiles,is_valid_smiles,smiles_error,molecular_weight,logp,num_heavy_atoms,num_rotatable_bonds
N-EtFOSA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1032646,N-Ethylperfluorooctane sulfonamide,4151-50-2,CCEKAJIANROZEO-UHFFFAOYSA-N,"N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide",CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C10H6F17NO2S/c1-2-28-31(29,30)10(26,27)8(21,22)6(17,18)4(13,14)3(11,12)5(15,16)7(19,20)9(23,24)25/h28H,2H2,1H3",C10H6F17NO2S,527.2,526.984778,1,201/733,733.0,27.0,,PFOS precursor,Precursor,C8,Sulfonamide,Precursor,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,,527.196,4.892600000000002,31,9
PFHpA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1037303,Perfluoroheptanoic acid,375-85-9,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,Tridecafluoroheptanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)",C7HF13O2,364.062,363.976895,1,38/675,675.0,6.0,,Longer chain PFCA (C7),PFCA,C7,Carboxylic acid,Legacy PFAS,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,,364.05699999999996,3.8098,22,5
ADONA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID40881350,"4,8-Dioxa-3H-perfluorononanoic acid",919005-14-4,AFDRCEOKCOUICI-UHFFFAOYSA-N,"2,2,3-Trifluoro-3-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]propanoic acid",OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,"InChI=1/C7H2F12O4/c8-1(3(9,10)2(20)21)22-5(13,14)4(11,12)6(15,16)23-7(17,18)19/h1H,(H,20,21)",C7H2F12O4,378.07,377.976147,1, ,,,,PFOA alternative,PFAS alternative,C7,Carboxylic acid,Replacement PFAS,O=C(O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,True,,378.065,3.3758,23,7
PFHxPA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID90880439,Perfluorohexyl phosphonic acid,40143-76-8,AGCUFKNHQDVTAD-UHFFFAOYSA-N,(Tridecafluorohexyl)phosphonic acid,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6H2F13O3P/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)23(20,21)22/h(H2,20,21,22)",C6H2F13O3P,400.032,399.953397,2, ,,,,Phosphonic acid head group PFAS (C6),Alternative head group,C6,Phosphonic acid,Alternative PFAS,O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,,400.02699999999993,3.8604,23,5
PFHxSiA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID90880479,Lithium perfluorohexanesulfonate,55120-77-9,VAXNCPZUCRECEW-UHFFFAOYSA-M,Lithium tridecafluorohexane-1-sulfonate,[Li+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6HF13O3S.Li/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)23(20,21)22;/h(H,20,21,22);/q;+1/p-1",C6F13LiO3S,406.04,405.95206,2, ,,,,Sulfinic acid head group PFAS (C6),Alternative head group,C6,Sulfinic acid,Alternative PFAS,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],True,,406.0449999999999,0.2319,24,5
PFNA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8031863,Perfluorononanoic acid,375-95-1,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,Heptadecafluorononanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",C9HF17O2,464.078,463.970508,1,223/726,726.0,31.0,,Longer chain PFCA (C9),PFCA,C9,Carboxylic acid,Legacy PFAS,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,,464.07099999999997,5.080400000000001,28,7
PFOA,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8031865,Perfluorooctanoic acid,335-67-1,SNGREZUHAYWORS-UHFFFAOYSA-N,Pentadecafluorooctanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)",C8HF15O2,414.07,413.973702,1,93/898,898.0,10.0,,"Legacy PFAS, longer chain PFCA (C8)",PFCA,C8,Carboxylic acid,Legacy PFAS,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,,414.06399999999996,4.4451,25,6
PFHpS,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8059920,Perfluoroheptanesulfonic acid,375-92-8,OYGQVDSRYXATEL-UHFFFAOYSA-N,Pentadecafluoroheptane-1-sulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7HF15O3S/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)26(23,24)25/h(H,23,24,25)",C7HF15O3S,450.12,449.940688,1,31/236,236.0,13.0,,Medium chain PFSA (C7),PFSA,C7,Sulfonic acid,Legacy PFAS,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,,450.1189999999999,4.2058,26,6
GenX,https://comptox.epa.gov/dashboard/chemical/details/DTXSID70880215,Perfluoro-2-methyl-3-oxahexanoic acid,13252-13-6,CSEBNABAWMZWIF-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-(heptafluoropropoxy)propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,"InChI=1/C6HF11O3/c7-2(1(18)19,4(10,11)12)20-6(16,17)3(8,9)5(13,14)15/h(H,18,19)",C6HF11O3,330.053,329.975004,1,4/258,258.0,2.0,,Newer PFOA replacement,PFAS alternative,C6,Carboxylic acid,Replacement PFAS,O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,True,,330.049,3.1061,20,4
8:2 FTOH,https://comptox.epa.gov/dashboard/chemical/details/DTXSID50858139,8:2 Fluorotelomer alcohol glucuronide,864551-34-8,UZMXIMHOMUBIEV-UQGZVRACSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl beta-D-glucopyranosiduronic acid",O[C@@H]1[C@@H](O)[C@H](OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[C@@H]([C@H]1O)C(O)=O,"InChI=1S/C16H13F17O7/c17-9(18,1-2-39-8-5(36)3(34)4(35)6(40-8)7(37)38)10(19,20)11(21,22)12(23,24)13(25,26)14(27,28)15(29,30)16(31,32)33/h3-6,8,34-36H,1-2H2,(H,37,38)/t3-,4-,5+,6-,8+/m0/s1",C16H13F17O7,640.246,640.038982,1, ,,,8:2 fluorotelomer alcohol,"Fluorotelomer alcohol, PFOA precursor",Precursor,C10,Alcohol,Precursor,O=C(O)[C@H]1O[C@@H](OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[C@H](O)[C@@H](O)[C@@H]1O,True,,640.2390000000003,3.294700000000002,40,11
