step,timestamp,phase,phase_count_node,phase_count_graph,avg_loss_last_10,best_loss_so_far,time_in_phase
2000,1753221292.6239429,node,1,0,0.5113885998725891,0.5113885998725891,0.0
2010,1753221298.1527965,graph,3,8,0.7251270219683648,0.1857520490884781,0.36461687088012695
2020,1753221301.8592634,node,6,15,0.5215229690074921,0.1857520490884781,0.0
2030,1753221305.4688177,graph,8,23,13.69419019818306,0.1857520490884781,0.38187193870544434
2040,1753221308.9133298,node,11,30,1.410301898419857,0.1857520490884781,0.0
2050,1753221312.333227,graph,13,38,0.5900010570883751,0.1857520490884781,0.3753476142883301
2060,1753221315.8905869,node,16,45,1.0353457093238831,0.1857520490884781,0.0
2070,1753221319.6414118,graph,18,53,0.7300356179475784,0.17028774321079254,0.3933556079864502
2080,1753221323.1275856,node,21,60,5.0178248077631,0.17028774321079254,0.0
2090,1753221326.6375782,graph,23,68,0.7319830566644668,0.17028774321079254,0.35579347610473633
2100,1753221330.217893,node,26,75,0.4612718880176544,0.17028774321079254,0.0
2110,1753221333.7420235,graph,28,83,2.2565968319773675,0.17028774321079254,0.38921570777893066
2120,1753221337.2043858,node,31,90,3.4957436993718147,0.17028774321079254,0.0
2130,1753221340.7065043,graph,33,98,0.5198831364512444,0.17028774321079254,0.33661532402038574
2140,1753221344.108284,node,36,105,1.3419094577431678,0.17028774321079254,0.0
2150,1753221347.5882008,graph,38,113,0.5783539161086082,0.17028774321079254,0.3351774215698242
2160,1753221351.09201,node,41,120,0.3639697089791298,0.17028774321079254,0.0
2170,1753221355.3420117,graph,43,128,0.5769951447844506,0.17028774321079254,0.45984768867492676
2180,1753221359.4485927,node,46,135,1.3733227118849753,0.16006094217300415,0.0
2190,1753221363.397299,graph,48,143,0.2568220183253288,0.09546884894371033,0.39570140838623047
2200,1753221367.5222604,node,51,150,0.9441727638244629,0.09546884894371033,0.0
2210,1753221371.130884,graph,53,158,0.7510851860046387,0.09546884894371033,0.34588146209716797
2220,1753221375.1906748,node,56,165,0.48305865228176115,0.09546884894371033,0.0
2230,1753221378.8372736,graph,58,173,0.3852075397968292,0.09546884894371033,0.3717000484466553
2240,1753221382.3494642,node,61,180,1.0858853116631508,0.09546884894371033,0.0
2250,1753221385.9421024,graph,63,188,0.3326362922787666,0.09546884894371033,0.357715368270874
2260,1753221389.8110294,node,66,195,0.646293132007122,0.09546884894371033,0.0
2270,1753221393.4078188,graph,68,203,0.388271701335907,0.09546884894371033,0.3595466613769531
2280,1753221397.0595546,node,71,210,0.6789683669805526,0.09546884894371033,0.0
2290,1753221400.6224573,graph,73,218,0.3685087412595749,0.09546884894371033,0.36915040016174316
2300,1753221404.2023365,node,76,225,0.7025496006011963,0.09546884894371033,0.0
2310,1753221407.8993623,graph,78,233,0.3910084366798401,0.09546884894371033,0.39693236351013184
2320,1753221411.418021,node,81,240,5.19170553535223,0.09546884894371033,0.0
2330,1753221415.0982068,graph,83,248,0.4049364671111107,0.09546884894371033,0.3546106815338135
2340,1753221418.75099,node,86,255,1.3468040809035302,0.09546884894371033,0.0
2350,1753221422.3001485,graph,88,263,0.9431325122714043,0.09546884894371033,0.3510870933532715
2360,1753221426.2460449,node,91,270,3.0215045168995855,0.09546884894371033,0.0
2370,1753221429.8949864,graph,93,278,0.3135989740490913,0.09546884894371033,0.35189390182495117
2380,1753221433.3735337,node,96,285,0.8486987739801407,0.09546884894371033,0.0
2390,1753221436.880776,graph,98,293,2.2130526676774025,0.09546884894371033,0.35498476028442383
2400,1753221440.4147005,node,101,300,1.6153998464345931,0.09546884894371033,0.0
2410,1753221443.90836,graph,103,308,0.29089211151003835,0.09546884894371033,0.35600709915161133
2420,1753221447.3957903,node,106,315,0.4607121407985687,0.09546884894371033,0.0
2430,1753221450.964847,graph,108,323,0.36340977251529694,0.09546884894371033,0.3705408573150635
2440,1753221454.4444654,node,111,330,0.6861101284623146,0.09546884894371033,0.0
2450,1753221458.0532951,graph,113,338,0.3512639582157135,0.09546884894371033,0.37288570404052734
2460,1753221461.5527513,node,116,345,0.4755967676639557,0.09546884894371033,0.0
2470,1753221465.0798807,graph,118,353,0.3502976059913635,0.09546884894371033,0.37071657180786133
2480,1753221468.6967802,node,121,360,0.6194213673472404,0.09546884894371033,0.0
2490,1753221472.4753299,graph,123,368,0.38773962408304213,0.09546884894371033,0.37009549140930176
2500,1753221476.1098206,node,126,375,0.37736666202545166,0.09546884894371033,0.0
2510,1753221479.6615033,graph,128,383,5.633756297826767,0.09546884894371033,0.37464404106140137
2520,1753221483.0796676,node,131,390,23.42048202008009,0.09546884894371033,0.0
2530,1753221486.6762226,graph,133,398,0.5591947615146637,0.09546884894371033,0.39166903495788574
2540,1753221490.1630466,node,136,405,0.35005114153027533,0.07834262400865555,0.0
2550,1753221493.5845282,graph,138,413,0.834912258386612,0.07834262400865555,0.34272336959838867
2560,1753221496.977586,node,141,420,1.404318019747734,0.07834262400865555,0.0
2570,1753221500.9406397,graph,143,428,0.624989491701126,0.07834262400865555,0.4159889221191406
2580,1753221504.9845617,node,146,435,0.4650329738855362,0.07834262400865555,0.0
2590,1753221509.0954921,graph,148,443,0.5809679090976715,0.07834262400865555,0.43772172927856445
2600,1753221512.7201052,node,151,450,0.21609907299280168,0.07834262400865555,0.0
2610,1753221516.5848315,graph,153,458,0.24040620177984237,0.07834262400865555,0.3602414131164551
2620,1753221520.293652,node,156,465,0.49276010394096376,0.07834262400865555,0.0
2630,1753221524.4749236,graph,158,473,0.8283088833093644,0.07834262400865555,0.38773488998413086
2640,1753221528.119683,node,161,480,1.1077710002660752,0.07834262400865555,0.0
2650,1753221531.9098678,graph,163,488,0.7795948967337608,0.07587490975856781,0.39571356773376465
2660,1753221535.9347713,node,166,495,0.5156609624624252,0.07587490975856781,0.0
2670,1753221540.0829933,graph,168,503,0.2502031221985817,0.07587490975856781,0.4159688949584961
2680,1753221543.73042,node,171,510,0.4229091599583626,0.07587490975856781,0.0
2690,1753221547.5917072,graph,173,518,0.4699013516306877,0.07587490975856781,0.3739197254180908
2700,1753221551.389235,node,176,525,0.3689880184829235,0.07587490975856781,0.0
2710,1753221555.354287,graph,178,533,0.23089368641376495,0.07587490975856781,0.37679290771484375
2720,1753221559.3608532,node,181,540,0.8179000809788703,0.07587490975856781,0.0
2730,1753221563.2784443,graph,183,548,0.3510261416435242,0.07587490975856781,0.40340757369995117
2740,1753221567.0057943,node,186,555,0.34510916396975516,0.044171907007694244,0.0
2750,1753221570.840359,graph,188,563,0.3743046894669533,0.044171907007694244,0.43795299530029297
2760,1753221574.560215,node,191,570,0.7717036947607994,0.044171907007694244,0.0
2770,1753221578.3196576,graph,193,578,0.5844230711460113,0.044171907007694244,0.370286226272583
2780,1753221581.980152,node,196,585,0.42365319579839705,0.044171907007694244,0.0
2790,1753221585.6905973,graph,198,593,0.2571956604719162,0.044171907007694244,0.41457223892211914
2800,1753221589.3383894,node,201,600,0.35807119607925414,0.044171907007694244,0.0
2810,1753221593.07286,graph,203,608,0.4562635213136673,0.044171907007694244,0.36470746994018555
2820,1753221596.9808345,node,206,615,1.3673547208309174,0.044171907007694244,0.0
2830,1753221602.0637214,graph,208,623,0.4406246691942215,0.044171907007694244,0.36257386207580566
2840,1753221605.6656291,node,211,630,0.4253991886973381,0.044171907007694244,0.0
2850,1753221609.253195,graph,213,638,2.4144250750541687,0.044171907007694244,0.37535715103149414
2860,1753221612.8094897,node,216,645,0.972473093867302,0.044171907007694244,0.0
2870,1753221616.5628994,graph,218,653,3.768601280450821,0.044171907007694244,0.3702867031097412
2880,1753221620.0160055,node,221,660,1.1192081198096275,0.044171907007694244,0.0
2890,1753221623.3983705,graph,223,668,0.34691180288791656,0.044171907007694244,0.31942152976989746
2900,1753221626.7408986,node,226,675,3.57582595795393,0.044171907007694244,0.0
2910,1753221630.3075325,graph,228,683,0.4641057223081589,0.044171907007694244,0.358644962310791
2920,1753221633.7672813,node,231,690,0.7448243096470832,0.044171907007694244,0.0
2930,1753221637.1508863,graph,233,698,0.792013718187809,0.044171907007694244,0.3327794075012207
2940,1753221640.6344783,node,236,705,1.147242148220539,0.044171907007694244,0.0
2950,1753221644.265055,graph,238,713,1.3519247636198997,0.044171907007694244,0.3667774200439453
2960,1753221647.7871866,node,241,720,0.43587611615657806,0.044171907007694244,0.0
2970,1753221651.3764284,graph,243,728,0.30659844875335696,0.044171907007694244,0.38427734375
2980,1753221655.0541182,node,246,735,1.367693203687668,0.044171907007694244,0.0
2990,1753221658.530824,graph,248,743,0.3146910399198532,0.044171907007694244,0.347792387008667
3000,1753221662.1488166,node,251,750,0.4260539337992668,0.044171907007694244,0.0
3010,1753221666.2838533,graph,253,758,0.35269775092601774,0.044171907007694244,0.47533583641052246
3020,1753221669.8757844,node,256,765,1.7256139501929284,0.044171907007694244,0.0
3030,1753221673.474306,graph,258,773,0.5813813790678978,0.044171907007694244,0.3753626346588135
3040,1753221676.8732505,node,261,780,9.78095871657133,0.044171907007694244,0.0
3050,1753221680.4287972,graph,263,788,0.2931849852204323,0.044171907007694244,0.349759578704834
3060,1753221684.2394097,node,266,795,0.5327294364571571,0.044171907007694244,0.0
3070,1753221688.1089942,graph,268,803,0.42369473576545713,0.044171907007694244,0.41915059089660645
3080,1753221692.030568,node,271,810,0.49383864998817445,0.044171907007694244,0.0
3090,1753221695.8309538,graph,273,818,0.32972112447023394,0.044171907007694244,0.3619835376739502
3100,1753221699.3986695,node,276,825,4.321502509713173,0.044171907007694244,0.0
3110,1753221703.0107338,graph,278,833,0.5376451045274735,0.044171907007694244,0.37900209426879883
3120,1753221706.598651,node,281,840,1.5328085198998451,0.044171907007694244,0.0
3130,1753221710.1974788,graph,283,848,0.370810966193676,0.044171907007694244,0.3433215618133545
3140,1753221713.7362163,node,286,855,0.4561000466346741,0.044171907007694244,0.0
3150,1753221717.436785,graph,288,863,0.3408142939209938,0.044171907007694244,0.3571805953979492
3160,1753221720.9883993,node,291,870,0.3551369309425354,0.044171907007694244,0.0
3170,1753221724.4946957,graph,293,878,0.2994599133729935,0.044171907007694244,0.3465254306793213
3180,1753221728.082267,node,296,885,0.4231730788946152,0.044171907007694244,0.0
3190,1753221731.7182608,graph,298,893,0.3040128588676453,0.044171907007694244,0.4157388210296631
3200,1753221735.319071,node,301,900,0.4046276494860649,0.044171907007694244,0.0
3210,1753221738.8437889,graph,303,908,1.710357341170311,0.044171907007694244,0.3854091167449951
3220,1753221742.5868285,node,306,915,0.4143959030508995,0.044171907007694244,0.0
3230,1753221746.1380436,graph,308,923,0.20829448252916336,0.044171907007694244,0.3581666946411133
3240,1753221749.7753973,node,311,930,1.5020968556404113,0.044171907007694244,0.0
3250,1753221753.7302604,graph,313,938,0.5143152549862862,0.044171907007694244,0.40163254737854004
3260,1753221757.6852303,node,316,945,0.3333135932683945,0.044171907007694244,0.0
3270,1753221761.9164305,graph,318,953,1.0279951222240924,0.044171907007694244,0.5465512275695801
3280,1753221767.0383203,node,321,960,0.5389476373791695,0.044171907007694244,0.0
3290,1753221770.7115014,graph,323,968,0.2976735636591911,0.044171907007694244,0.36936354637145996
3300,1753221774.3919547,node,326,975,0.18328674733638764,0.044171907007694244,0.0
3310,1753221777.9743984,graph,328,983,0.7745409473776818,0.044171907007694244,0.35673999786376953
3320,1753221781.5633929,node,331,990,0.6555999636650085,0.044171907007694244,0.0
3330,1753221785.1977336,graph,333,998,0.25847780480980875,0.044171907007694244,0.3965578079223633
3340,1753221788.8754654,node,336,1005,0.6017102643847465,0.044171907007694244,0.0
3350,1753221792.4515047,graph,338,1013,0.327178293466568,0.044171907007694244,0.3471701145172119
3360,1753221796.0420475,node,341,1020,0.9904242254793644,0.044171907007694244,0.0
3370,1753221799.5672553,graph,343,1028,0.8173230782151222,0.044171907007694244,0.3616175651550293
3380,1753221803.4840257,node,346,1035,0.21994223445653915,0.044171907007694244,0.0
3390,1753221807.1451,graph,348,1043,1.0844517379999161,0.044171907007694244,0.3923792839050293
3400,1753221810.7186186,node,351,1050,1.9910882800817489,0.044171907007694244,0.0
3410,1753221814.4828227,graph,353,1058,0.3446147993206978,0.044171907007694244,0.38666486740112305
3420,1753221818.1707983,node,356,1065,0.5638590715825558,0.044171907007694244,0.0
3430,1753221821.9891467,graph,358,1073,0.35830277055501936,0.044171907007694244,0.36600327491760254
3440,1753221825.8148396,node,361,1080,2.1852118983864783,0.044171907007694244,0.0
3450,1753221829.6265948,graph,363,1088,0.7742582768201828,0.044171907007694244,0.4087214469909668
